,,NORMALISATION,QE
TARGET,std,1.1640261535960243,0.37388154391637307
TARGET,min,-3.534554376156179,-0.8082986873893507
TARGET,max,2.5981301437327717,1.7676318118984133
PATH,std,2.462283647630936,1.236840807053489
PATH,min,-4.258383183802083,-3.652419216146381
PATH,max,7.591036972781158,3.4066744178529156
QE,std,3.697220427369361,2.78626389895607
QE,min,-8.078314212947387,-7.55530212003021
QE,max,6.842398584254875,8.07264128322375
