,TARGET,PATH,QE
OIS_1M,1.0,-0.06666794742923804,1.0783535926754113e-11
OIS_3M,2.0940279123254233,0.17042342918951464,0.11786053729101703
OIS_6M,2.7500275230370335,0.6509065093439247,0.33663756115839305
OIS_1Y,3.89734937381828,1.0251784575156793,0.6014591337783196
OIS_2Y,4.25311773441802,1.0,0.7925456364934649
OIS_3Y,3.9589169603566363,0.8788949399998186,0.8690864023173148
OIS_4Y,3.9026649196984255,0.554694711396294,0.9751750309808471
OIS_5Y,3.6941489685891975,0.43825849615159895,1.0494827939137807
OIS_7Y,3.1466949336955987,0.1862187414180261,1.0264944433982395
OIS_10Y,2.4227106656156283,0.04426614491435972,1.0
