,DE2Y,DE5Y,DE10Y,DE30Y,LEVEL,SLOPE,CURV
TARGET,3.519*** (0.439),4.124*** (0.822),3.819*** (1.000),1.859** (0.827),3.821*** (0.694),0.301 (0.805),0.911 (0.769)
PATH,1.091*** (0.249),0.424** (0.202),-0.659* (0.346),-1.297*** (0.498),0.286*** (0.106),-1.750*** (0.552),0.416 (0.466)
QE,0.951*** (0.118),1.010*** (0.086),0.902*** (0.170),0.616*** (0.198),0.954*** (0.076),-0.049 (0.239),0.167 (0.161)
R2,0.829,0.845,0.830,0.579,0.918,0.484,0.057
N,56,56,56,56,56,56,56
