,DE2Y,DE10Y,DE30Y,SLOPE
TARGET,4.238*** (0.268),3.157*** (0.331),1.816*** (0.309),-1.081*** (0.231)
PATH,1.170*** (0.216),0.044 (0.223),-0.333 (0.241),-1.126*** (0.146)
QE,0.980*** (0.082),1.128*** (0.107),0.899*** (0.131),0.148 (0.095)
R2,0.910,0.828,0.595,0.558
N,83,83,83,83
